lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,160.4698028564453,0,,,,,,,,,,,,,,
,99,133.00320434570312,0,,,,,,,,,,,,,,
,119,,0,131.51019287109375,2058.529052734375,0.0,1985.1573486328125,73.37173461914062,,,,,,,,,
,119,,0,,,,,,2292.989501953125,0.011014125309884548,2221.540771484375,71.4376220703125,,,,,
0.00011112,120,,,,,,,,,,,,,,,,
,149,5.9983367919921875,1,,,,,,,,,,,,,,
,199,4.106305122375488,1,,,,,,,,,,,,,,
,239,,1,3.5499603748321533,100.0,100.0,0.0,0.0,,,,,,,,,
,239,,1,,,,,,119.58326721191406,96.96244812011719,20.205894470214844,2.4149210453033447,,,,,
0.00022223000000000002,240,,,,,,,,,,,,,,,,
,249,3.7296648025512695,2,,,,,,,,,,,,,,
,299,3.5093753337860107,2,,,,,,,,,,,,,,
,349,3.5722951889038086,2,,,,,,,,,,,,,,
,359,,2,3.2981622219085693,100.0,100.0,0.0,0.0,,,,,,,,,
,359,,2,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00033334,360,,,,,,,,,,,,,,,,
,399,3.3006277084350586,3,,,,,,,,,,,,,,
,449,3.5252537727355957,3,,,,,,,,,,,,,,
,479,,3,3.2335104942321777,100.0,100.0,0.0,0.0,,,,,,,,,
,479,,3,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00044445,480,,,,,,,,,,,,,,,,
,499,3.2494888305664062,4,,,,,,,,,,,,,,
,549,3.2607004642486572,4,,,,,,,,,,,,,,
,599,3.22227144241333,4,,,,,,,,,,,,,,
,599,,4,3.203937530517578,100.0,100.0,0.0,0.0,,,,,,,,,
,599,,4,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00055556,600,,,,,,,,,,,,,,,,
,649,3.2535464763641357,5,,,,,,,,,,,,,,
,699,3.2514097690582275,5,,,,,,,,,,,,,,
,719,,5,3.146181583404541,100.0,100.0,0.0,0.0,,,,,,,,,
,719,,5,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00066667,720,,,,,,,,,,,,,,,,
,749,3.636117935180664,6,,,,,,,,,,,,,,
,799,4.152005672454834,6,,,,,,,,,,,,,,
,839,,6,3.0917704105377197,100.0,100.0,0.0,0.0,,,,,,,,,
,839,,6,,,,,,100.0,100.0,0.0,0.0,,,,,
0.0007777799999999999,840,,,,,,,,,,,,,,,,
,849,3.1751999855041504,7,,,,,,,,,,,,,,
,899,3.124647855758667,7,,,,,,,,,,,,,,
,949,3.08297061920166,7,,,,,,,,,,,,,,
,959,,7,3.015033006668091,100.0,100.0,0.0,0.0,,,,,,,,,
,959,,7,,,,,,100.0,100.0,0.0,0.0,,,,,
0.0008888899999999999,960,,,,,,,,,,,,,,,,
,999,3.10863995552063,8,,,,,,,,,,,,,,
,1049,3.1106748580932617,8,,,,,,,,,,,,,,
,1079,,8,2.9431586265563965,100.0,100.0,0.0,0.0,,,,,,,,,
,1079,,8,,,,,,100.0,100.0,0.0,0.0,,,,,
0.001,1080,,,,,,,,,,,,,,,,
,1099,2.9570322036743164,9,,,,,,,,,,,,,,
,1149,2.921332359313965,9,,,,,,,,,,,,,,
,1199,2.9120709896087646,9,,,,,,,,,,,,,,
,1199,,9,2.8367648124694824,100.0,100.0,0.0,0.0,,,,,,,,,
,1199,,9,,,,,,99.99449157714844,99.99449157714844,0.0,0.0,,,,,
0.001,1200,,,,,,,,,,,,,,,,
,1249,2.8985424041748047,10,,,,,,,,,,,,,,
,1299,2.732464551925659,10,,,,,,,,,,,,,,
,1319,,10,2.675250291824341,99.20248413085938,99.20248413085938,0.0,0.0,,,,,,,,,
,1319,,10,,,,,,99.87886810302734,99.87474060058594,0.0,0.004129387438297272,,,,,
0.0009984602081996976,1320,,,,,,,,,,,,,,,,
,1349,2.6678597927093506,11,,,,,,,,,,,,,,
,1399,2.6581335067749023,11,,,,,,,,,,,,,,
,1439,,11,2.4510576725006104,94.41736602783203,94.15152740478516,0.0,0.2658396065235138,,,,,,,,,
,1439,,11,,,,,,97.9140853881836,97.8411636352539,0.0,0.07292440533638,,,,,
0.0009938503261272714,1440,,,,,,,,,,,,,,,,
,1449,2.6095845699310303,12,,,,,,,,,,,,,,
,1499,2.3587660789489746,12,,,,,,,,,,,,,,
,1549,2.283914566040039,12,,,,,,,,,,,,,,
,1559,,12,2.1918704509735107,87.3504638671875,85.68896484375,0.022153301164507866,1.6393442153930664,,,,,,,,,
,1559,,12,,,,,,92.45979309082031,91.92691040039062,0.002753910608589649,0.530127763748169,,,,,
0.0009861987752386395,1560,,,,,,,,,,,,,,,,
,1599,2.136369228363037,13,,,,,,,,,,,,,,
,1649,2.294469118118286,13,,,,,,,,,,,,,,
,1679,,13,1.8959685564041138,76.0301284790039,69.31768035888672,0.22153301537036896,6.490917205810547,,,,,,,,,
,1679,,13,,,,,,84.74627685546875,81.68012237548828,0.03301374241709709,3.033137559890747,,,,,
0.0009755527298894294,1680,,,,,,,,,,,,,,,,
,1699,2.0716795921325684,14,,,,,,,,,,,,,,
,1749,1.8758939504623413,14,,,,,,,,,,,,,,
,1799,1.7779427766799927,14,,,,,,,,,,,,,,
